"cohort_yymm","cohort_index","cohort_ret_nbr","cohort_ret_pct"
"2019-11-01","11","36","45.56962025316456"
"2019-11-01","12","16","20.253164556962027"
"2019-11-01","13","15","18.9873417721519"
"2019-12-01","0","101","100"
"2019-12-01","1","83","82.17821782178218"
"2019-12-01","2","70","69.3069306930693"
"2019-12-01","3","64","63.366336633663366"
"2019-12-01","4","62","61.386138613861384"
"2019-12-01","5","60","59.40594059405941"
"2019-12-01","6","57","56.43564356435643"
"2019-12-01","7","54","53.46534653465346"
"2019-12-01","8","51","50.495049504950494"
"2019-12-01","9","49","48.51485148514851"
"2019-12-01","10","45","44.554455445544555"
"2019-12-01","11","30","29.702970297029704"
"2019-12-01","12","29","28.712871287128714"
"2020-01-01","0","99","100"
"2020-01-01","1","82","82.82828282828282"
"2020-01-01","2","70","70.70707070707071"
"2020-01-01","3","63","63.63636363636363"
"2020-01-01","4","60","60.60606060606061"
"2020-01-01","5","60","60.60606060606061"
"2020-01-01","6","57","57.57575757575758"
"2020-01-01","7","55","55.55555555555556"
"2020-01-01","8","52","52.525252525252526"
"2020-01-01","9","49","49.494949494949495"
"2020-01-01","10","20","20.2020202020202"
"2020-01-01","11","20","20.2020202020202"
"2020-02-01","0","57","100"
"2020-02-01","1","50","87.71929824561404"
"2020-02-01","2","45","78.94736842105263"
"2020-02-01","3","44","77.19298245614036"
"2020-02-01","4","43","75.43859649122807"
"2020-02-01","5","40","70.17543859649123"
"2020-02-01","6","39","68.42105263157895"
"2020-02-01","7","37","64.91228070175438"
"2020-02-01","8","36","63.1578947368421"
"2020-02-01","9","17","29.82456140350877"
"2020-02-01","10","16","28.07017543859649"
"2020-03-01","0","72","100"
"2020-03-01","1","60","83.33333333333333"
"2020-03-01","2","52","72.22222222222223"
"2020-03-01","3","48","66.66666666666667"
"2020-03-01","4","47","65.27777777777777"
"2020-03-01","5","45","62.5"
"2020-03-01","6","42","58.333333333333336"
"2020-03-01","7","39","54.166666666666664"
"2020-03-01","8","18","25"
"2020-03-01","9","17","23.61111111111111"
"2020-04-01","0","80","100"
"2020-04-01","1","68","85"
"2020-04-01","2","58","72.5"
"2020-04-01","3","54","67.5"
"2020-04-01","4","51","63.75"
"2020-04-01","5","50","62.5"
"2020-04-01","6","48","60"
"2020-04-01","7","20","25"
"2020-04-01","8","18","22.5"
"2020-05-01","0","83","100"
"2020-05-01","1","69","83.13253012048193"
"2020-05-01","2","60","72.28915662650603"
"2020-05-01","3","55","66.26506024096386"
"2020-05-01","4","53","63.855421686746986"
"2020-05-01","5","49","59.036144578313255"
"2020-05-01","6","18","21.686746987951807"
"2020-05-01","7","17","20.481927710843372"
"2020-06-01","0","48","100"
"2020-06-01","1","39","81.25"
"2020-06-01","2","35","72.91666666666667"
"2020-06-01","3","31","64.58333333333333"
"2020-06-01","4","29","60.416666666666664"
"2020-06-01","5","15","31.25"
"2020-06-01","6","15","31.25"
"2020-07-01","0","114","100"
"2020-07-01","1","97","85.08771929824562"
"2020-07-01","2","92","80.70175438596492"
"2020-07-01","3","85","74.56140350877193"
